,ID,latitude,longitude,location,timestamp,magnitude,depth
5213,knmi1983wqeq,50.56816,7.273334,Linz am Rhein (Duitsland),1983-11-18 23:18:25,2.7,2.3
5214,knmi1983wqax,50.5875,7.285,Kasbach-Ohlenberg (Duitsland),1983-11-18 21:25:41,2.0,7.1
5215,knmi1983vwjw,50.61433,5.523334,Seraing (België),1983-11-08 03:13:22,3.4,4.5
5216,knmi1983vwig,50.63417,5.53,Sint-Niklaas (België),1983-11-08 02:24:54,2.9,2.1
5217,knmi1983vwhc,50.62817,5.51,Sint-Niklaas (België),1983-11-08 01:49:34,5.0,3.4
5218,knmi1983tzzr,49.85517,5.365,Neufchâteau (België),1983-10-12 16:32:59,3.0,3.2
5219,knmi1983ssth,51.07617,5.731667,Dilsen-Stokkem (België),1983-09-24 11:49:59,3.3,9.9
5220,knmi1983rbft,50.17033,5.463333,Marche-en-Famenne (België),1983-08-31 16:08:37,3.1,11.9
5221,knmi1983pzuc,49.90017,5.226666,Bertrix (België),1983-08-16 15:35:31,3.1,3.3
5222,knmi1983pmbs,50.353,4.586667,Mettet (België),1983-08-09 03:32:37,3.3,3.9
5223,knmi1983pdjh,50.39117,4.536667,Châtelet (België),1983-08-04 09:08:26,3.2,6.6
5224,knmi1983nyoa,50.6955,8.008333,Derschen (Duitsland),1983-07-18 12:19:03,2.2,4.9
5225,knmi1983nyna,50.2685,7.766667,Dessighofen (Duitsland),1983-07-18 11:48:18,2.1,15.0
5226,knmi1983ncur,50.1715,5.468333,Marche-en-Famenne (België),1983-07-06 14:41:00,2.8,14.2
5227,knmi1983meux,51.62017,7.146667,Herten (Duitsland),1983-06-23 11:31:51,2.8,1.0
5228,knmi1983lsjs,51.46883,7.071667,Essen (Duitsland),1983-06-16 16:15:26,2.3,1.0
5229,knmi1983knep,50.96617,6.621666,Bergheim (Duitsland),1983-05-30 14:26:55,1.8,1.0
5230,knmi1983jkkz,51.76,8.005,Beckum (Duitsland),1983-05-14 20:43:55,3.1,1.0
5231,knmi1983jcaf,51.48583,7.085,Gelsenkirchen (Duitsland),1983-05-10 06:12:07,2.6,1.0
5232,knmi1983ixdk,50.37317,7.38,Plaidt (Duitsland),1983-05-07 14:08:37,3.4,3.5
5233,knmi1983igrf,51.55433,6.868333,Bottrop (Duitsland),1983-04-28 13:48:10,2.1,1.0
5234,knmi1983fqtg,50.36833,7.388333,Ochtendung (Duitsland),1983-03-22 08:34:33,2.7,10.7
5235,knmi1983fqsx,50.3785,7.39,Plaidt (Duitsland),1983-03-22 08:24:32,3.2,10.6
5236,knmi1983fqsu,50.3925,7.418334,Andernach (Duitsland),1983-03-22 08:20:26,2.8,3.1
5237,knmi1983fqpz,51.57667,7.073333,Gelsenkirchen (Duitsland),1983-03-22 06:55:49,2.5,1.0
5238,knmi1983ctpn,51.51083,7.545,Dortmund (Duitsland),1983-02-09 05:30:08,2.2,1.0
5239,knmi1983cmoe,51.36983,5.541667,Heeze,1983-02-05 08:51:17,2.220860481,6.2
5240,knmi1982xupd,50.69233,8.19,Breitscheid (Duitsland),1982-12-05 14:41:38,2.9,4.8
5241,knmi1982xqgr,51.74717,7.873333,Ahlen (Duitsland),1982-12-03 05:52:04,2.3,1.0
5242,knmi1982vlfu,50.635,7.908333,Nistertal (Duitsland),1982-11-02 00:40:35,2.1,1.3
5243,knmi1982vkyn,50.6385,7.935,Bad Marienberg (Duitsland),1982-11-01 21:00:16,2.0,2.1
5244,knmi1982sdww,51.61183,7.643333,Bergkamen (Duitsland),1982-09-16 08:36:03,2.8,1.0
5245,knmi1982sbfj,50.44183,4.326667,Fontaine-l'Évêque (België),1982-09-14 21:29:10,2.6,5.0
5246,knmi1982sbff,50.4375,4.176667,Binche (België),1982-09-14 21:24:34,3.4,2.0
5247,knmi1982qolg,51.599,7.655,Kamen (Duitsland),1982-08-24 16:09:13,2.6,1.0
5248,knmi1982mnzg,50.6615,8.018333,Hof (Duitsland),1982-06-28 11:57:34,4.7,13.4
5249,knmi1982mksm,50.59184,7.985,Stahlhofen am Wiesensee (Duitsland),1982-06-26 17:07:04,2.9,10.7
5250,knmi1982mkqe,50.6335,7.933333,Hahn bei Marienberg (Duitsland),1982-06-26 15:57:24,3.1,3.9
5251,knmi1982mkbz,50.5755,7.943333,Westerburg (Duitsland),1982-06-26 08:47:58,2.1,10.0
5252,knmi1982mdft,50.61567,7.953333,Höhn (Duitsland),1982-06-22 14:44:51,3.4,9.8
5253,knmi1982lkvm,50.611,7.946667,Dreisbach (Duitsland),1982-06-12 13:06:56,2.4,5.3
5254,knmi1982ljos,50.58667,7.968333,Halbs (Duitsland),1982-06-11 20:33:03,2.3,12.0
5255,knmi1982ljoj,50.5295,7.955,Guckheim (Duitsland),1982-06-11 20:22:17,2.5,13.4
5256,knmi1982ljoe,50.621,7.95,Höhn (Duitsland),1982-06-11 20:17:07,3.1,4.9
5257,knmi1982lcvm,50.67567,8.021667,Hof (Duitsland),1982-06-08 04:01:35,2.1,6.3
5258,knmi1982lbpo,50.34367,7.928333,Cramberg (Duitsland),1982-06-07 11:53:52,2.1,5.0
5259,knmi1982ktqg,50.3605,7.366667,Ochtendung (Duitsland),1982-06-03 03:09:26,2.0,9.4
5260,knmi1982jybv,51.0425,5.986667,Waldfeucht (Duitsland),1982-05-22 08:00:04,3.7,3.3
